,osmid,y,x,highway,street_count,ref,geometry
2292,42443298,40.7299057,-73.9889161,traffic_signals,4,,POINT (-73.9889161 40.7299057)
2293,42443313,40.7717197,-73.98296,traffic_signals,3,,POINT (-73.98296 40.7717197)
2294,42443326,40.7748544,-73.9806716,traffic_signals,4,,POINT (-73.9806716 40.7748544)
2295,42443329,40.7754797,-73.9802121,traffic_signals,4,,POINT (-73.9802121 40.7754797)
2296,42443332,40.7761092,-73.9797528,traffic_signals,4,,POINT (-73.9797528 40.7761092)
2297,42443336,40.7774164,-73.9787995,traffic_signals,4,,POINT (-73.9787995 40.7774164)
2298,42443341,40.7787465,-73.9778546,traffic_signals,4,,POINT (-73.9778546 40.7787465)
2299,42443344,40.7793715,-73.9773846,traffic_signals,4,,POINT (-73.9773846 40.7793715)
2300,42443346,40.7799947,-73.9769106,traffic_signals,4,,POINT (-73.9769106 40.7799947)
2301,42443347,40.7819606,-73.9754991,traffic_signals,3,,POINT (-73.9754991 40.7819606)
2302,42443349,40.7858165,-73.9726992,traffic_signals,4,,POINT (-73.9726992 40.7858165)
2303,42443353,40.7864968,-73.9721811,traffic_signals,4,,POINT (-73.9721811 40.7864968)
2304,42443363,40.7903176,-73.9694076,traffic_signals,4,,POINT (-73.9694076 40.7903176)
2305,42443366,40.7909442,-73.9689668,traffic_signals,4,,POINT (-73.9689668 40.7909442)
2306,42443373,40.7921969,-73.9680402,traffic_signals,4,,POINT (-73.9680402 40.7921969)
2307,42443381,40.792876,-73.9675451,traffic_signals,4,,POINT (-73.9675451 40.792876)
2308,42443388,40.7935554,-73.9670321,traffic_signals,4,,POINT (-73.9670321 40.7935554)
2309,42443403,40.795486,-73.9656255,traffic_signals,4,,POINT (-73.9656255 40.795486)
2310,42443406,40.7979207,-73.9638432,traffic_signals,4,,POINT (-73.9638432 40.7979207)
2311,42443413,40.8005466,-73.9619296,traffic_signals,4,,POINT (-73.9619296 40.8005466)
2312,42443426,40.8011797,-73.9614635,traffic_signals,4,,POINT (-73.9614635 40.8011797)
2313,42443486,40.855157,-73.932092,,3,,POINT (-73.932092 40.855157)
2314,42443488,40.855755,-73.931655,,3,,POINT (-73.931655 40.855755)
2315,42443492,40.8573725,-73.9299339,,3,,POINT (-73.9299339 40.8573725)
2316,42443513,40.7232759,-73.9884461,traffic_signals,4,,POINT (-73.9884461 40.7232759)
2317,42443520,40.859545,-73.927977,,3,,POINT (-73.927977 40.859545)
2318,42443522,40.860242,-73.92842,traffic_signals,4,,POINT (-73.92842 40.860242)
2319,42443524,40.860862,-73.928817,,3,,POINT (-73.928817 40.860862)
2320,42443528,40.7572829,-73.9781109,traffic_signals,4,,POINT (-73.9781109 40.7572829)
2321,42443532,40.7622326,-73.9898591,traffic_signals,4,,POINT (-73.9898591 40.7622326)
2322,42443534,40.7634284,-73.9927002,traffic_signals,4,,POINT (-73.9927002 40.7634284)
2323,42443549,40.7655765,-73.9977981,traffic_signals,3,,POINT (-73.9977981 40.7655765)
2324,42443556,40.7547828,-73.9799429,traffic_signals,4,,POINT (-73.9799429 40.7547828)
2325,42443561,40.7597283,-73.9916836,traffic_signals,4,,POINT (-73.9916836 40.7597283)
2326,42443563,40.7609247,-73.9945259,traffic_signals,4,,POINT (-73.9945259 40.7609247)
2327,42443570,40.7631549,-73.9997758,traffic_signals,3,,POINT (-73.9997758 40.7631549)
2328,42443574,40.8258825,-73.9393198,traffic_signals,4,,POINT (-73.9393198 40.8258825)
2329,42443582,40.8278201,-73.9439099,traffic_signals,4,,POINT (-73.9439099 40.8278201)
2330,42443588,40.7140045,-74.004403,,3,,POINT (-74.004403 40.7140045)
2331,42443612,40.7616156,-73.9728581,traffic_signals,4,,POINT (-73.9728581 40.7616156)
2332,42443613,40.7609096,-73.9711599,traffic_signals,4,,POINT (-73.9711599 40.7609096)
2333,42443614,40.7602528,-73.9696237,traffic_signals,4,,POINT (-73.9696237 40.7602528)
2334,42443615,40.759601,-73.9680638,traffic_signals,4,,POINT (-73.9680638 40.759601)
2335,42443618,40.7576367,-73.9634088,traffic_signals,4,,POINT (-73.9634088 40.7576367)
2336,42443621,40.7565033,-73.9607182,turning_circle,1,,POINT (-73.9607182 40.7565033)
2337,42443658,40.8233637,-73.9471685,,3,,POINT (-73.9471685 40.8233637)
2338,42443659,40.8240824,-73.9488825,traffic_signals,4,,POINT (-73.9488825 40.8240824)
2339,42443666,40.7057939,-74.0170123,,3,,POINT (-74.0170123 40.7057939)
2340,42443671,40.7402701,-73.9905315,traffic_signals,4,,POINT (-73.9905315 40.7402701)
2341,42443674,40.7452231,-74.002304,traffic_signals,4,,POINT (-74.002304 40.7452231)
2342,42443676,40.7463948,-74.0051067,traffic_signals,4,,POINT (-74.0051067 40.7463948)
2343,42443677,40.7475038,-74.0077312,,3,,POINT (-74.0077312 40.7475038)
2344,42443680,40.747152,-73.9854903,traffic_signals,4,,POINT (-73.9854903 40.747152)
2345,42443799,40.7281239,-73.9902269,,3,,POINT (-73.9902269 40.7281239)
2346,42443807,40.7537188,-73.9774323,stop,3,,POINT (-73.9774323 40.7537188)
2347,42443810,40.754351,-73.9769749,traffic_signals,4,,POINT (-73.9769749 40.754351)
2348,42443811,40.7556019,-73.9760646,stop,3,,POINT (-73.9760646 40.7556019)
2349,42443817,40.8025484,-73.9429883,traffic_signals,4,,POINT (-73.9429883 40.8025484)
2350,42443818,40.8018088,-73.9412451,traffic_signals,4,,POINT (-73.9412451 40.8018088)
2351,42443819,40.8011859,-73.9397578,traffic_signals,4,,POINT (-73.9397578 40.8011859)
2352,42443821,40.8005038,-73.9381606,traffic_signals,4,,POINT (-73.9381606 40.8005038)
2353,42443824,40.7985686,-73.9335312,traffic_signals,4,,POINT (-73.9335312 40.7985686)
2354,42443826,40.7976374,-73.9312818,stop,3,,POINT (-73.9312818 40.7976374)
2355,42443844,40.7117008,-74.0069661,traffic_signals,4,,POINT (-74.0069661 40.7117008)
2356,42443928,40.7101204,-73.9897857,traffic_signals,3,,POINT (-73.9897857 40.7101204)
2357,42443950,40.7503415,-73.9831749,traffic_signals,4,,POINT (-73.9831749 40.7503415)
2358,42443975,40.7564802,-73.997767,traffic_signals,4,,POINT (-73.997767 40.7564802)
2359,42443990,40.8766068,-73.9094916,,3,,POINT (-73.9094916 40.8766068)
2360,42444028,40.8267594,-73.9375935,traffic_signals,3,,POINT (-73.9375935 40.8267594)
2361,42444043,40.7547483,-73.9778974,traffic_signals,4,,POINT (-73.9778974 40.7547483)
2362,42444049,40.753367,-73.974648,traffic_signals,4,,POINT (-73.974648 40.753367)
2363,42444051,40.7526987,-73.973049,traffic_signals,4,,POINT (-73.973049 40.7526987)
